index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
204,ADQuaTe: An Automated Data Quality Test Approach for Constraint Discovery and Fault Detection,H. Homayouni; S. Ghosh; I. Ray,Colorado State University; Colorado State University; Colorado State University,2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI),,2019,,,61,68,"Data quality tests validate the data stored in databases and data warehouses to detect violations of syntactic and semantic constraints. Domain experts grapple with the issues related to the capturing of all the important constraints and checking that they are satisfied. Domain experts often define the constraints in an ad hoc manner based on their knowledge of the application domain and needs of the stakeholders. We propose ADQuaTe, which is an automated data quality test approach that uses an unsupervised machine learning technique to discover constraints that may have been missed by experts. ADQuaTe marks records that violate the constraints as suspicious and explains the violations. We evaluate ADQuaTe on real-world applications using a health data warehouse and a plant diagnosis database to demonstrate that the approach can uncover previously detected as well as new faults in the data.",,978-1-7281-1337-1,10.1109/IRI.2019.00023,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8843473,Data quality tests;Database;Data warehouse;Explainable learning;Machine learning;Unsupervised learning,Drugs;Data integrity;Databases;Data warehouses;Data models;Semantics;Self-organizing feature maps,data analysis;data mining;data warehouses;database management systems;fault diagnosis;health care;unsupervised learning,automated data quality test approach;constraint discovery;fault detection;data quality tests;syntactic constraints;semantic constraints;domain experts grapple;application domain;ADQuaTe marks records;health data warehouse;plant diagnosis database;unsupervised machine learning technique,,1.0,30.0,,,,,IEEE,IEEE Conferences
205,Toward Next Generation of Autonomous Systems with AI,D. Prokhorov,"Toyota Motor North America R & D, Ann Arbor, MI, 48105, USA",2019 International Joint Conference on Neural Networks (IJCNN),,2019,,,1,5,I discuss a growing area of research in autonomous driving systems and overview what this means in terms of their testing. I also discuss implications for autonomous decision making systems of the future. (This paper is expected to serve as the basis of my plenary talk at IJCNN 2019.).,2161-4407,978-1-7281-1985-4,10.1109/IJCNN.2019.8851867,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8851867,autonomous driving;deep neural network;machine learning;decision making system;testing,Testing;Autonomous vehicles;Decision making;Neural networks;Computational modeling;Lyapunov methods;Tools,artificial intelligence;decision making;program testing;traffic engineering computing,autonomous decision making systems;AI;autonomous driving systems,,,38.0,,,,,IEEE,IEEE Conferences
206,Modeling Adaptive Learning Agents for Domain Knowledge Transfer,M. Höser,Bauhaus Luftfahrt e. V.,2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),,2019,,,660,665,"The implementation of intelligent agents in industrial applications is often prevented by the high cost of adopting such a system to a particular problem domain. This paper states the thesis that when learning agents are applied to work environments that require domain-specific experience, the agent benefits if it can be further adapted by a supervising domain expert. Closely interacting with the agent, a domain expert should be able to understand its decisions and update the underlying knowledge base as needed. The result would be an agent with individualized knowledge that comes in part from the domain experts. The model of such an adaptive learning agent must take into account the problem domain, the design of the learning agent and the perception of the domain user. Therefore, already in the modeling phase, more attention must be paid to make the learning element of the agent adaptable by an operator. Domain modeling and meta-modeling methods could help to make inner processes of the agent more accessible. In addition, the knowledge gained should be made reusable for future agents in similar environments. To begin with, the existing methods for modeling agent systems and the underlying concepts will be evaluated, based on the requirements for different industrial scenarios. The methods are then compiled into a framework that allows for the description and modeling of such systems in terms of adaptability to a problem domain. Where necessary, new methods or tools will be introduced to close the gap between inconsistent modeling artifacts. The framework shall then be used to build learning agents for real-life scenarios and observe their application in a case study. The results will be used to assess the quality of the adapted knowledge base and compare it to a manual knowledge modeling process.",,978-1-7281-5125-0,10.1109/MODELS-C.2019.00101,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8904822,Adaptive Learning Agents;Multi-modeling;Domain modeling;Knowledge Engineering,,knowledge based systems;knowledge management;learning (artificial intelligence);multi-agent systems,adaptive learning agent;domain user;modeling phase;learning element;domain modeling;meta-modeling methods;modeling agent systems;adapted knowledge base;manual knowledge modeling process;modeling adaptive learning agents;domain knowledge transfer;intelligent agents;domain-specific experience;agent benefits;supervising domain expert,,,43.0,,,,,IEEE,IEEE Conferences
209,"Incorporating Societal (Social) and Ethical Implications into the Design, Development, and Deployment of Technologies",B. Schuelke-Leech; M. Janczarski,"University of Windsor,Windsor,Ontario,Canada; Standards Council of Canada,Ottawa,Ontario,Canada",2019 IEEE International Symposium on Technology and Society (ISTAS),,2019,,,1,6,"Technologies can have significant ethical and societal impacts. Unfortunately, it has been common for engineers and developers to overlook these concerns as being beyond the scope of their technical responsibilities. Autonomous and Intelligent Systems are making it more difficult to ignore these issues. However, it can be challenging to know where to begin when trying to incorporate societal and ethical concerns into the design, development, demonstration, and deployment of a technology, process, algorithm, or application. The purpose of this paper is to outline a process that can be used to ensure the consideration of ethical and societal impacts during the development process.",2158-3412,978-1-7281-5480-0,10.1109/ISTAS48451.2019.8937964,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8937964,Ethical and Societal Impacts Technology Development,Stakeholders;Biological system modeling;Artificial intelligence;Economics;Ethics;Cultural differences;Standards,ethical aspects;social aspects of automation;technology management,technical responsibilities;societal concerns;ethical concerns;societal impacts;ethical implications;ethical impacts;social implications;societal implications;autonomous systems;intelligent systems;technology development;technology design;technology deployment,,,23.0,,,,,IEEE,IEEE Conferences
210,Development of a Radiology Decision Support System for the Classification of MRI Brain Scans,A. Y. Zhang; S. S. W. Lam; N. Liu; Y. Pang; L. L. Chan; P. H. Tang,"Nat. Univ. of Singapore, Singapore, Singapore; Singapore Health Services, Singapore, Singapore; Singapore Health Services, Singapore, Singapore; Nat. Univ. of Singapore, Singapore, Singapore; Med. Sch., Duke-NUS, Singapore, Singapore; Med. Sch., Duke-NUS, Singapore, Singapore",2018 IEEE/ACM 5th International Conference on Big Data Computing Applications and Technologies (BDCAT),,2018,,,107,115,"Previous studies revealed that the ordering of Magnetic resonance imaging (MRI) brain scans following American College of Radiology (ACR) guidelines showed a higher percentage of brain abnormalities compared to scans that do not. As the process of manually labelling patient orders obtained from a local tertiary hospital in accordance to ACR guidelines is intensive and time consuming, this study aims to develop predictive machine learning models; Logistic Regression (LR), Support Vector Machine (SVM), Random Forest (RF) and XGBoost (XGB), to automate the classification process through text mining methods and derive insights that are useful for future clinical decision-making and resource optimization. Using 1,924 observations as the labelled training data, RF and XGB were found to be the best performing robust models with ROC values of 0.9459 and 0.9508 respectively on the validation set (481 observations). Further exploration into the interpretability of black-box algorithms using the model agnostic LIME (Local Interpretable Model-Agnostic Explanations) framework was used to generate further insights for decisions made using a separate XGB model with respect to individual patients. The LIME framework is a significant first step towards the development of a comprehensive decision support system for patient-level decisions in the ordering of MRI scans.",,978-1-5386-5502-3,10.1109/BDCAT.2018.00021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8606641,machine learning;text analytics;text mining;natural language processing;MRI;LIME,Magnetic resonance imaging;Radiology;Machine learning;Biomedical imaging;Guidelines;Machine learning algorithms;Brain modeling,biomedical MRI;brain;data mining;decision making;decision support systems;diagnostic radiography;hospitals;image classification;medical image processing;radiology;random forests;regression analysis;support vector machines;text analysis,MRI brain scans;brain abnormalities;local tertiary hospital;ACR guidelines;predictive machine learning models;classification process;text mining methods;model agnostic LIME;patient-level decisions;MRI scans;magnetic resonance imaging brain scans;American College of Radiology;logistic regression;support vector machine;random forest;clinical decision-making;local interpretable model-agnostic explanations;XGB model;radiology guidelines;radiology decision support system;MRI brain scans classification;XGBoost;resource optimization,,,16.0,,,,,IEEE,IEEE Conferences
212,Deep Electric Pole Anomaly Detection and Unsupervised Description Generation,D. Lee; J. Nam; H. Choi,Korea Advanced Institute of Science and Technology; Korea Advanced Institute of Science and Technology; Korea Advanced Institute of Science and Technology,2020 IEEE International Conference on Big Data and Smart Computing (BigComp),,2020,,,535,537,"In the past few years, image recognition and computer vision with deep learning have evolved rapidly to become a commercial application that assists traditional human decision making with the engineering of data professionals. However, there are a number of problems with existing deep learning. Deep learning is a black box method that suffers from over-fitting problems more seriously than traditional learning methods and cannot be used to understand the decision-making process in the middle layer. It is used skeptically for applications that require reliability and transparency such as safety. The recent generation model gives a user understanding of the data manifold and is emerging as a new unsupervised learning method. In particular, we focus on the unsupervised learning of these generation models and propose experiments that can be used to detect abnormalities in power distribution facilities. We propose techniques to mitigate dataset shortages by learning and analyzing dataset in power environments with extreme shortages of abnormal dataset, and providing an assessment of the abnormal dataset. The module is still experimental and has no results. But in the future, it is expected to be used as a convergence technology of the power industry and artificial intelligence.",2375-9356,978-1-7281-6034-4,10.1109/BigComp48618.2020.00-10,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9070448,"Machine learning, Electric pole, Generative modeling",Gallium nitride;Generative adversarial networks;Machine learning;Computer architecture;Data models;Computational modeling;Conferences,computer vision;decision making;image recognition;learning (artificial intelligence);unsupervised learning,unsupervised learning method;generation models;dataset;abnormal dataset;deep electric pole anomaly detection;unsupervised description generation;image recognition;computer vision;deep learning;black box method;traditional learning methods;decision-making process;traditional human decision making;power distribution facilities;convergence technology;power industry;artificial intelligence,,,12.0,,,,,IEEE,IEEE Conferences
213,Outlier Analysis of Airport Delay Distributions in US and China,M. Z. Li; K. Gopalakrishnan; Y. Wang; H. Balakrishnan,"Massachusetts Institute of Technology,Department of Aeronautics and Astronautics,Cambridge,MA,USA; Massachusetts Institute of Technology,Department of Aeronautics and Astronautics,Cambridge,MA,USA; College of Civil Aviation, Nanjing University of Aeronautics and Astronautics,Nanjing,China,211106; Massachusetts Institute of Technology,Department of Aeronautics and Astronautics,Cambridge,MA,USA",2020 International Conference on Artificial Intelligence and Data Analytics for Air Transportation (AIDA-AT),,2020,,,1,12,"Outlier detection is a key component of several machine learning approaches. However, many existing techniques, especially for multi-dimensional signals, are not interpretable and do not explain why a specific classification was assigned to a particular data point. Another limitation is that most methods only consider the magnitude or intensity of the signal, and not its spatial distribution. We present a spectral approach to identify outliers based on the spatial distribution of a signal across the nodes of a graph without any explicit assumptions on the underlying probability distribution of the signal. By applying these techniques to airport delays, we not only identify outliers in the spatial distribution of delays, but also gain insights into the delay dynamics. Specifically, we compare spatial delay distributions in the US and China during the period 2012-17, and identify several interesting characteristics pertaining to critical airports for outlier detection. We characterize typical variabilities in the delay distributions, and the frequency of occurrence of outliers. Our results highlight the differences between the operational dynamics of the US and Chinese air transportation systems, and contribute to performance benchmarking between different airspace systems.",,978-1-7281-5380-3,10.1109/AIDA-AT48540.2020.9049208,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9049208,US/China air transportation;flight delays;Graph Signal Processing;outlier analysis;aviation disruption,,airports;data analysis;delays;learning (artificial intelligence);probability;statistical distributions,airport delay distributions;US;outlier detection;machine learning;multidimensional signals;specific classification;particular data point;spatial distribution;probability distribution;delay dynamics;spatial delay distributions;China,,,32.0,,,,,IEEE,IEEE Conferences
215,Interpretable Multiview Early Warning System Adapted to Underrepresented Student Populations,A. Cano; J. D. Leonard,"Department Computer Science, Virginia Commonwealth University, Richmond, VA, USA; Department Computer Science, Virginia Commonwealth University, Richmond, VA, USA",IEEE Transactions on Learning Technologies,,2019,12,2.0,198,211,"Early warning systems have been progressively implemented in higher education institutions to predict student performance. However, they usually fail at effectively integrating the many information sources available at universities to make more accurate and timely predictions, they often lack decision-making reasoning to motivate the reasons behind the predictions, and they are generally biased toward the general student body, ignoring the idiosyncrasies of underrepresented student populations (determined by socio-demographic factors such as race, gender, residency, or status as a freshmen, transfer, adult, or first-generation students) that traditionally have greater difficulties and performance gaps. This paper presents a multiview early warning system built with comprehensible Genetic Programming classification rules adapted to specifically target underrepresented and underperforming student populations. The system integrates many student information repositories using multiview learning to improve the accuracy and timing of the predictions. Three interfaces have been developed to provide personalized and aggregated comprehensible feedback to students, instructors, and staff to facilitate early intervention and student support. Experimental results, validated with statistical analysis, indicate that this multiview learning approach outperforms traditional classifiers. Learning outcomes will help instructors and policy-makers to deploy strategies to increase retention and improve academics.",1939-1382,,10.1109/TLT.2019.2911079,Amazon AWS Machine Learning Research; VCU Presidential Research Quest Fund; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8691619,Educational data mining;early prediction;student performance;multi-view learning;genetic programming,Alarm systems;Data mining;Sociology;Statistics;Education;Data models;Genetic programming,data mining;decision making;educational administrative data processing;educational institutions;further education;genetic algorithms;learning (artificial intelligence);pattern classification;statistical analysis,early intervention;student support;multiview learning approach;interpretable multiview early warning system adapted;higher education institutions;student performance;information sources;decision-making reasoning;general student body;socio-demographic factors;first-generation students;underperforming student populations;student information repositories;genetic programming classification rules;statistical analysis,,1.0,80.0,,,,,IEEE,IEEE Journals
216,ADMIRING: Adversarial Multi-network Mining,Q. Zhou; L. Li; N. Cao; L. Ying; H. Tong,"University of Illinois at Urbana-Champaign; Amazon; Tongji University; University of Michigan, Ann Arbor; University of Illinois at Urbana-Champaign",2019 IEEE International Conference on Data Mining (ICDM),,2019,,,1522,1527,"Multi-sourced networks naturally appear in many application domains, ranging from bioinformatics, social networks, neuroscience to management. Although state-of-the-art offers rich models and algorithms to find various patterns when input networks are given, it has largely remained nascent on how vulnerable the mining results are due to the adversarial attacks. In this paper, we address the problem of attacking multi-network mining through the way of deliberately perturbing the networks to alter the mining results. The key idea of the proposed method (Admiring) is effective influence functions on the Sylvester equation defined over the input networks, which plays a central and unifying role in various multi-network mining tasks. The proposed algorithms bear two main advantages, including (1) effectiveness, being able to accurately quantify the rate of change of the mining results in response to attacks; and (2) generality, being applicable to a variety of multi-network mining tasks ( e.g., graph kernel, network alignment, cross-network node similarity) with different attacking strategies (e.g., edge/node removal, attribute alteration).",2374-8486,978-1-7281-4604-1,10.1109/ICDM.2019.00201,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8970779,Adversarial attacks;Sylvester Equation;Multi network mining,,bioinformatics;data mining;graph theory;network theory (graphs);social networking (online),ADMIRING;adversarial multinetwork mining;multisourced networks;social networks;state-of-the-art offers rich models;mining results;adversarial attacks;multinetwork mining tasks;network alignment;cross-network node similarity,,,25.0,,,,,IEEE,IEEE Conferences
217,Explainable Recommendation Using Review Text and a Knowledge Graph,T. Suzuki; S. Oyama; M. Kurihara,Hokkaido University; Hokkaido University/RIKEN; Hokkaido University,2019 IEEE International Conference on Big Data (Big Data),,2019,,,4638,4643,"Recommender systems using a knowledge graph can comprehensively organize users and items and their attributes and thereby improve recommendation performance. In addition, the relationship between users and items can be easily interpreted on the basis of entities and relations, thus giving explanations to recommendations. The algorithms and knowledge graphs used for generating explanations have not utilized review text. We have developed a recommendation method for predicting interactions between users and items using a knowledge graph and review text. The underlying user-item relationships are reflected and explanations are generated by predicting user-item interactions from the paths between a user and an item. The modeling is done using a recurrent neural network or a factorization machine. Items' aspects that interest users are extracted from review text and leveraged using an attention-like mechanism. Since the path between a user and an item can be easily interpreted, and the important aspects between a user and an item can be interpreted by observing the attention weight, the proposed model can generate a reasonable recommendation explanation. Testing using a real-world dataset demonstrated that the proposed model can explain the recommendations.",,978-1-7281-0858-2,10.1109/BigData47090.2019.9005590,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9005590,Recommendation;Knowledge Graph;Explainability;Review text;Recurent Neural Network,Big Data;Machine-to-machine communications;Conferences,graph theory;recommender systems;recurrent neural nets;text analysis,attention-like mechanism;factorization machine;recurrent neural network;knowledge graphs;recommender systems;user-item interactions;user-item relationships;review text,,,15.0,,,,,IEEE,IEEE Conferences
218,Learning Deep Models for Face Anti-Spoofing: Binary or Auxiliary Supervision,Y. Liu; A. Jourabloo; X. Liu,"Dept. of Comput. Sci. & Eng., Michigan State Univ., East Lansing, MI, USA; Dept. of Comput. Sci. & Eng., Michigan State Univ., East Lansing, MI, USA; Dept. of Comput. Sci. & Eng., Michigan State Univ., East Lansing, MI, USA",2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,2018,,,389,398,"Face anti-spoofing is crucial to prevent face recognition systems from a security breach. Previous deep learning approaches formulate face anti-spoofing as a binary classification problem. Many of them struggle to grasp adequate spoofing cues and generalize poorly. In this paper, we argue the importance of auxiliary supervision to guide the learning toward discriminative and generalizable cues. A CNN-RNN model is learned to estimate the face depth with pixel-wise supervision, and to estimate rPPG signals with sequence-wise supervision. The estimated depth and rPPG are fused to distinguish live vs. spoof faces. Further, we introduce a new face anti-spoofing database that covers a large range of illumination, subject, and pose variations. Experiments show that our model achieves the state-of-the-art results on both intra- and cross-database testing.",2575-7075,978-1-5386-6420-9,10.1109/CVPR.2018.00048,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578146,,Face;Three-dimensional displays;Databases;Face recognition;Lighting;Shape;Two dimensional displays,face recognition;feedforward amplifiers;feedforward neural nets;image classification;learning (artificial intelligence),learning deep models;auxiliary supervision;face recognition systems;adequate spoofing cues;face depth;pixel-wise supervision;sequence-wise supervision;spoof faces;face antispoofing database;deep learning approaches,,47.0,51.0,,,,,IEEE,IEEE Conferences
219,Feature Learning and Analysis for Cleanliness Classification in Restrooms,L. Jayasinghe; N. Wijerathne; C. Yuen; M. Zhang,"SUTD-MIT International Design Centre, Singapore University of Technology and Design, Singapore; SUTD-MIT International Design Centre, Singapore University of Technology and Design, Singapore; SUTD-MIT International Design Centre, Singapore University of Technology and Design, Singapore; National ASIC System Engineering Technology Research Center, Southeast University, Nanjing, China",IEEE Access,,2019,7,,14871,14882,"In order to revamp the cleaning contract from the head-count basis into a performance basis, a fair and unbiased cleanliness classification is necessary. However, the perception of cleanliness is very subjective to the observer. Hence, it is not an easy task to quantify the cleanliness. This paper presents an application of principal component analysis (PCA) in conjunction with convolutional neural networks (CNN) to identify the cleanliness of a restroom up to three levels; namely, dirty, average, and clean. The proposed method includes an application specific data augmentation algorithm and a PCA-based feature analysis schema to select the best suited CNN model for our dataset. Since this study focused on a specific application, we benchmark the performances of the proposed method performances with the state-of-the-art computer vision algorithms on our dataset. Moreover, our study shows a machine learning approach toward automating the inspection process of a restroom.",2169-3536,,10.1109/ACCESS.2019.2894006,SUTD-MIT International Design Center and NSFC; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8620324,Image classification;deep learning;principle component analysis;data augmentation;feature learning;internet of things,Feature extraction;Convolution;Cleaning;Principal component analysis;Standards;Computer architecture;Sensors,cleaning;computer vision;convolutional neural nets;image classification;learning (artificial intelligence);principal component analysis,restroom;feature learning;principal component analysis;convolutional neural networks;data augmentation algorithm;PCA;CNN model;machine learning;feature analysis;cleanliness classification;computer vision,,,35.0,,,,,IEEE,IEEE Journals
220,A Wearable Sleep Position Tracking System Based on Dynamic State Transition Framework,S. Jeon; T. Park; A. Paul; Y. Lee; S. H. Son,"Department of Information and Communication Engineering, DGIST, Daegu, South Korea; Department of Robotics Engineering, Hanyang University, Seoul, South Korea; School of Computer Science and Engineering, Kyungpook National University, Daegu, South Korea; Department of Physical Medicine and Rehabilitation, School of Medicine, Kyungpook National University, Daegu, South Korea; Department of Information and Communication Engineering, DGIST, Daegu, South Korea",IEEE Access,,2019,7,,135742,135756,"Sleep monitoring is vital as sleep plays an important role in recovering physical and mental health. To have a sound sleep, one has to avoid bad sleep positions associated with personal health conditions. However, most of the existing sleep trackers merely show quantitative information about sleep patterns and duration at each sleep stage, overlooking the importance of sleep positions upon sleep quality. To accurately keep track of sleep positions, we propose a wearable sleep position tracking system consisting of two wristbands and one chest-band. We suggest a two-level classifier specialized for sleep motion based on Dynamic State Transition (DST)-framework. The DST-framework is designed to process the spatio-temporal sleep motion data collected via accelerometer/gyro sensing and classify twelve sleep position (SP) motions from four sleep positions. Our experimental results demonstrate that the proposed system effectively and accurately classify twelve SP motions for tracking sleep positions, and hence, serves as a key building block for comprehensive sleep care applications related to sleep positions.",2169-3536,,10.1109/ACCESS.2019.2942608,"National Research Foundation; ICT Research and Development program of MSIP/IITP, (Resilient Cyber-Physical Systems Research); Ministry of Science, ICT and Future Planning; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8845586,Sleep position;sleep quality;sleep monitoring;wearable devices,Sensors;Biomedical monitoring;Sleep apnea;Tracking;Monitoring;Cameras,accelerometers;medical signal processing;patient monitoring;sleep,wearable sleep position tracking system;sleep monitoring;sound sleep;bad sleep positions;existing sleep trackers;sleep patterns;sleep stage;sleep quality;spatio-temporal sleep motion data;sleep position motions;comprehensive sleep care applications;dynamic state transition-framework;accelerometer-gyro sensing;sleep position motions,,,50.0,CCBY,,,,IEEE,IEEE Journals
221,Self-Assessing and Communicating Manipulation Proficiency Through Active Uncertainty Characterization,M. S. Lee,Carnegie Mellon University,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,2019,,,724,726,"Autonomous manipulation has the potential to improve the quality of life of many by assisting in routine household tasks such as cooking, cleaning, and organizing. However, for safe, dependable, and effective operation alongside humans, both the robot and the human must have an accurate and reliable assessment of the robot's proficiency at completing the relevant tasks. Such an assessment helps to ensure that the robot does not engage in tasks that it cannot handle and instead engages in tasks that are well-aligned with the robot's abilities. This proposal thus investigates how a robot can actively assess both its proficiency and its confidence in that assessment through appropriate measures of uncertainty that can be efficiently and effectively communicated to a human. The experiments examine how a user's trust and subsequent use of a robot vary as a result of the robot's self-assessment of proficiency.",2167-2148,978-1-5386-8555-6,10.1109/HRI.2019.8673083,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673083,Trust Alignment;Proficiency;Confidence;Uncertainty;Introspection,Uncertainty;Task analysis;Robot sensing systems;Sensitivity analysis;Proposals;Conferences,domestic appliances;home automation;mobile robots;reliability,reliable assessment;autonomous manipulation;robots self-assessment;household tasks;uncertainty characterization,,,23.0,,,,,IEEE,IEEE Conferences
222,o-glasses: Visualizing X86 Code From Binary Using a 1D-CNN,Y. Otsubo; A. Otsuka; M. Mimura; T. Sakaki,"National Police Agency, Tokyo, Japan; Institute of information Security, Kanagawa, Japan; Institute of information Security, Kanagawa, Japan; Institute for Future Initiatives (IFI), The University of Tokyo, Tokyo, Japan",IEEE Access,,2020,8,,31753,31763,"Malicious document files used in targeted attacks often contain a small program called shellcode. It is often hard to prepare a runnable environment for dynamic analysis of these document files because they exploit specific vulnerabilities. In these cases, it is necessary to identify the position of the shellcode in each document file to analyze it. If the exploit code uses executable scripts such as JavaScript and Flash, it is not so hard to locate the shellcode. On the other hand, it is sometimes almost impossible to locate the shellcode when it does not contain any JavaScript or Flash but consists of native x86 code only. Binary fragment classification is often applied to visualize the location of regions of interest, and shellcode must contain at least a small fragment of x86 native code even if most of it is obfuscated, such as a decoder for the obfuscated body of the shellcode. In this paper, we propose a novel method, o-glasses, to visualize the shellcode by recognizing the x86 native code using a specially designed one-dimensional convolutional neural network (1d-CNN). The fragment size needs to be as small as the minimum size of the x86 native code in the whole shellcode. Our results show that a 16-instruction-sequence (approximately 48 bytes on average) is sufficient for the code fragment visualization. Our method, o-glasses (1d-CNN), outperforms other methods in that it recognizes x86 native code with a surprisingly high F-measure rate (about 99.95%).",2169-3536,,10.1109/ACCESS.2020.2972358,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8986651,Binary analysis;CNN;machine learning;MLP;shellcode;visualization,,document handling;program diagnostics;program visualisation;security of data,1D-CNN;malicious document files;shellcode;binary fragment classification;code fragment visualization;x86 native code visualization;o-glasses method;dynamic analysis;one-dimensional convolutional neural networks,,,30.0,CCBY,,,,IEEE,IEEE Journals
223,Some Research Problems in Biometrics: The Future Beckons,A. Ross; S. Banerjee; C. Chen; A. Chowdhury; V. Mirjalili; R. Sharma; T. Swearingen; S. Yadav,"Michigan State University,East Lansing,MI,USA,48824; Michigan State University,East Lansing,MI,USA,48824; Michigan State University,East Lansing,MI,USA,48824; Michigan State University,East Lansing,MI,USA,48824; Michigan State University,East Lansing,MI,USA,48824; Michigan State University,East Lansing,MI,USA,48824; Michigan State University,East Lansing,MI,USA,48824; Michigan State University,East Lansing,MI,USA,48824",2019 International Conference on Biometrics (ICB),,2019,,,1,8,"The need for reliably determining the identity of a person is critical in a number of different domains ranging from personal smartphones to border security; from autonomous vehicles to e-voting; from tracking child vaccinations to preventing human trafficking; from crime scene investigation to personalization of customer service. Biometrics, which entails the use of biological attributes such as face, fingerprints and voice for recognizing a person, is being increasingly used in several such applications. While biometric technology has made rapid strides over the past decade, there are several fundamental issues that are yet to be satisfactorily resolved. In this article, we will discuss some of these issues and enumerate some of the exciting challenges in this field.",2376-4201,978-1-7281-3640-0,10.1109/ICB45273.2019.8987307,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8987307,,,biometrics (access control);data acquisition;data privacy;feature extraction,biometrics;biological attributes;biometric recognition;semiautomated recognition;biometric data acquisition;quality enhancement;feature extraction;matching;data privacy;pattern recognition,,,32.0,,,,,IEEE,IEEE Conferences
224,Generating Mock Skeletons for Lightweight Web-Service Testing,T. Bhagya; J. Dietrich; H. Guesgen,"Massey University, New Zealand; Victoria University of Wellington, New Zealand; Massey University, New Zealand",2019 26th Asia-Pacific Software Engineering Conference (APSEC),,2019,,,181,188,"Modern application development allows applications to be composed using lightweight HTTP services. Testing such an application requires the availability of services that the application makes requests to. However, access to dependent services during testing may be restrained. Simulating the behaviour of such services is, therefore, useful to address their absence and move on application testing. This paper examines the appropriateness of Symbolic Machine Learning algorithms to automatically synthesise HTTP services' mock skeletons from network traffic recordings. These skeletons can then be customised to create mocks that can generate service responses suitable for testing. The mock skeletons have human-readable logic for key aspects of service responses, such as headers and status codes, and are highly accurate.",2640-0715,978-1-7281-4648-5,10.1109/APSEC48747.2019.00033,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945647,"HTTP, Web services, REST, service oriented computing, mocking, service virtualisation, application testing, symbolic machine learning",,learning (artificial intelligence);program testing;transport protocols;Web services,modern application development;lightweight HTTP services;application testing;service responses;symbolic machine learning algorithms;lightweight Web-service testing;service availability;HTTP services mock skeletons;network traffic recordings;human-readable logic,,,44.0,,,,,IEEE,IEEE Conferences
225,Arguing Machines: Human Supervision of Black Box AI Systems That Make Life-Critical Decisions,L. Fridman; L. Ding; B. Jenik; B. Reimer,Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT),2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),,2019,,,1335,1343,"We consider the paradigm of a black box AI system that makes life-critical decisions. We propose an “arguing machines” framework that pairs the primary AI system with a secondary one that is independently trained to perform the same task. We show that disagreement between the two systems, without any knowledge of underlying system design or operation, is sufficient to improve the accuracy of the overall system given human supervision over disagreements. We demonstrate this system in two applications: (1) image classification and (2) large-scale real-world semi-autonomous driving. For the first application, we apply this framework to image classification achieving a reduction from 8.0% to 2.8% top-5 error on ImageNet. For the second application, we apply this framework to Tesla Autopilot and demonstrate the ability to predict 90.4% of system disengagements that were labeled by human as challenging.",2160-7516,978-1-7281-2506-0,10.1109/CVPRW.2019.00173,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9025671,,Task analysis;Machine learning;Neural networks;Autonomous vehicles;Visualization,automobiles;control engineering computing;distributed control;image classification;learning (artificial intelligence);mobile robots;telerobotics,system disengagements;human supervision;black box AI system;life-critical decisions;arguing machines framework;primary AI system;system design;image classification;autonomous driving;ImageNet;Tesla Autopilot,,,36.0,,,,,IEEE,IEEE Conferences
